CO2 emission estimates,Year,Series,Value
Congo,1995,Emissions per capita (metric tons of carbon dioxide),0.192
Congo,2005,Emissions per capita (metric tons of carbon dioxide),0.227
Congo,2010,Emissions per capita (metric tons of carbon dioxide),0.418
Congo,2015,Emissions per capita (metric tons of carbon dioxide),0.633
Congo,2016,Emissions per capita (metric tons of carbon dioxide),0.581
Congo,2017,Emissions per capita (metric tons of carbon dioxide),0.541
Costa Rica,1975,Emissions (thousand metric tons of carbon dioxide),1738.003
Costa Rica,1985,Emissions (thousand metric tons of carbon dioxide),1948.536
Costa Rica,1995,Emissions (thousand metric tons of carbon dioxide),4438.795
Costa Rica,2005,Emissions (thousand metric tons of carbon dioxide),5463.059
Costa Rica,2010,Emissions (thousand metric tons of carbon dioxide),6622.054
Costa Rica,2015,Emissions (thousand metric tons of carbon dioxide),6940.23
Costa Rica,2016,Emissions (thousand metric tons of carbon dioxide),7488.019
Costa Rica,2017,Emissions (thousand metric tons of carbon dioxide),7584.411
Costa Rica,1975,Emissions per capita (metric tons of carbon dioxide),0.829
Costa Rica,1985,Emissions per capita (metric tons of carbon dioxide),0.714
Costa Rica,1995,Emissions per capita (metric tons of carbon dioxide),1.264
Costa Rica,2005,Emissions per capita (metric tons of carbon dioxide),1.286
Costa Rica,2010,Emissions per capita (metric tons of carbon dioxide),1.457
Costa Rica,2015,Emissions per capita (metric tons of carbon dioxide),1.443
Costa Rica,2016,Emissions per capita (metric tons of carbon dioxide),1.542
Costa Rica,2017,Emissions per capita (metric tons of carbon dioxide),1.546
Côte d’Ivoire,1975,Emissions (thousand metric tons of carbon dioxide),3038.34
Côte d’Ivoire,1985,Emissions (thousand metric tons of carbon dioxide),3046.744
Côte d’Ivoire,1995,Emissions (thousand metric tons of carbon dioxide),3262.483
Côte d’Ivoire,2005,Emissions (thousand metric tons of carbon dioxide),5813.001
Côte d’Ivoire,2010,Emissions (thousand metric tons of carbon dioxide),6245.044
Côte d’Ivoire,2015,Emissions (thousand metric tons of carbon dioxide),9543.523
Côte d’Ivoire,2016,Emissions (thousand metric tons of carbon dioxide),9586.785
Côte d’Ivoire,2017,Emissions (thousand metric tons of carbon dioxide),10234.205
Côte d’Ivoire,1975,Emissions per capita (metric tons of carbon dioxide),0.46
Côte d’Ivoire,1985,Emissions per capita (metric tons of carbon dioxide),0.298
Côte d’Ivoire,1995,Emissions per capita (metric tons of carbon dioxide),0.224
Côte d’Ivoire,2005,Emissions per capita (metric tons of carbon dioxide),0.317
Côte d’Ivoire,2010,Emissions per capita (metric tons of carbon dioxide),0.306
Côte d’Ivoire,2015,Emissions per capita (metric tons of carbon dioxide),0.413
Côte d’Ivoire,2016,Emissions per capita (metric tons of carbon dioxide),0.405
Côte d’Ivoire,2017,Emissions per capita (metric tons of carbon dioxide),0.421
Croatia,1995,Emissions (thousand metric tons of carbon dioxide),14774.177
Croatia,2005,Emissions (thousand metric tons of carbon dioxide),19917.214
Croatia,2010,Emissions (thousand metric tons of carbon dioxide),18248.777
Croatia,2015,Emissions (thousand metric tons of carbon dioxide),15512.642
Croatia,2016,Emissions (thousand metric tons of carbon dioxide),15858.564
Croatia,2017,Emissions (thousand metric tons of carbon dioxide),16193.172
Croatia,1995,Emissions per capita (metric tons of carbon dioxide),3.164
Croatia,2005,Emissions per capita (metric tons of carbon dioxide),4.484
Croatia,2010,Emissions per capita (metric tons of carbon dioxide),4.131
Croatia,2015,Emissions per capita (metric tons of carbon dioxide),3.69
Croatia,2016,Emissions per capita (metric tons of carbon dioxide),3.799
Croatia,2017,Emissions per capita (metric tons of carbon dioxide),3.925
Cuba,1975,Emissions (thousand metric tons of carbon dioxide),24184.624
Cuba,1985,Emissions (thousand metric tons of carbon dioxide),32178.767
Cuba,1995,Emissions (thousand metric tons of carbon dioxide),22448.802
Cuba,2005,Emissions (thousand metric tons of carbon dioxide),25051.431
Cuba,2010,Emissions (thousand metric tons of carbon dioxide),29508.746
Cuba,2015,Emissions (thousand metric tons of carbon dioxide),26841.68
Cuba,2016,Emissions (thousand metric tons of carbon dioxide),27791.025
Cuba,2017,Emissions (thousand metric tons of carbon dioxide),26215.665
Cuba,1975,Emissions per capita (metric tons of carbon dioxide),2.562
Cuba,1985,Emissions per capita (metric tons of carbon dioxide),3.191
Cuba,1995,Emissions per capita (metric tons of carbon dioxide),2.058
Cuba,2005,Emissions per capita (metric tons of carbon dioxide),2.22
Cuba,2010,Emissions per capita (metric tons of carbon dioxide),2.604
Cuba,2015,Emissions per capita (metric tons of carbon dioxide),2.342
Cuba,2016,Emissions per capita (metric tons of carbon dioxide),2.422
Cuba,2017,Emissions per capita (metric tons of carbon dioxide),2.283
Curaçao,2015,Emissions (thousand metric tons of carbon dioxide),4691.214
Curaçao,2016,Emissions (thousand metric tons of carbon dioxide),4150.776
Curaçao,2017,Emissions (thousand metric tons of carbon dioxide),3748.132
Curaçao,2015,Emissions per capita (metric tons of carbon dioxide),29.691
Curaçao,2016,Emissions per capita (metric tons of carbon dioxide),25.942
Curaçao,2017,Emissions per capita (metric tons of carbon dioxide),23.28
Cyprus,1975,Emissions (thousand metric tons of carbon dioxide),1658.258
Cyprus,1985,Emissions (thousand metric tons of carbon dioxide),2765.082
Cyprus,1995,Emissions (thousand metric tons of carbon dioxide),5048.341
Cyprus,2005,Emissions (thousand metric tons of carbon dioxide),7047.944
Cyprus,2010,Emissions (thousand metric tons of carbon dioxide),7260.554
Cyprus,2015,Emissions (thousand metric tons of carbon dioxide),5900.866
Cyprus,2016,Emissions (thousand metric tons of carbon dioxide),6269.2
Cyprus,2017,Emissions (thousand metric tons of carbon dioxide),6367.874
Cyprus,1975,Emissions per capita (metric tons of carbon dioxide),3.277
Cyprus,1985,Emissions per capita (metric tons of carbon dioxide),5.14
Cyprus,1995,Emissions per capita (metric tons of carbon dioxide),7.827
Cyprus,2005,Emissions per capita (metric tons of carbon dioxide),9.615
Cyprus,2010,Emissions per capita (metric tons of carbon dioxide),8.865
Cyprus,2015,Emissions per capita (metric tons of carbon dioxide),6.967
Cyprus,2016,Emissions per capita (metric tons of carbon dioxide),7.393
Cyprus,2017,Emissions per capita (metric tons of carbon dioxide),7.448
Czechia,1975,Emissions (thousand metric tons of carbon dioxide),154982.193
Czechia,1985,Emissions (thousand metric tons of carbon dioxide),175254.229
Czechia,1995,Emissions (thousand metric tons of carbon dioxide),123174.79
Czechia,2005,Emissions (thousand metric tons of carbon dioxide),118369.879
Czechia,2010,Emissions (thousand metric tons of carbon dioxide),112460.232
Czechia,2015,Emissions (thousand metric tons of carbon dioxide),99424.53
Czechia,2016,Emissions (thousand metric tons of carbon dioxide),101157.395
Czechia,2017,Emissions (thousand metric tons of carbon dioxide),101682.752
Czechia,1975,Emissions per capita (metric tons of carbon dioxide),15.403
Czechia,1985,Emissions per capita (metric tons of carbon dioxide),16.954
Czechia,1995,Emissions per capita (metric tons of carbon dioxide),11.923
Czechia,2005,Emissions per capita (metric tons of carbon dioxide),11.566
Czechia,2010,Emissions per capita (metric tons of carbon dioxide),10.693
Czechia,2015,Emissions per capita (metric tons of carbon dioxide),9.43
Czechia,2016,Emissions per capita (metric tons of carbon dioxide),9.575
Czechia,2017,Emissions per capita (metric tons of carbon dioxide),9.602
Dem. People's Rep. Korea,1975,Emissions (thousand metric tons of carbon dioxide),78598.511
Dem. People's Rep. Korea,1985,Emissions (thousand metric tons of carbon dioxide),129448.215
Dem. People's Rep. Korea,1995,Emissions (thousand metric tons of carbon dioxide),76532.289
Dem. People's Rep. Korea,2005,Emissions (thousand metric tons of carbon dioxide),75340.154
Dem. People's Rep. Korea,2010,Emissions (thousand metric tons of carbon dioxide),49292.798
Dem. People's Rep. Korea,2015,Emissions (thousand metric tons of carbon dioxide),22545.503
Dem. People's Rep. Korea,2016,Emissions (thousand metric tons of carbon dioxide),25426.726
Dem. People's Rep. Korea,2017,Emissions (thousand metric tons of carbon dioxide),19579.698
Dem. People's Rep. Korea,1975,Emissions per capita (metric tons of carbon dioxide),4.829
Dem. People's Rep. Korea,1985,Emissions per capita (metric tons of carbon dioxide),6.857
Dem. People's Rep. Korea,1995,Emissions per capita (metric tons of carbon dioxide),3.501
Dem. People's Rep. Korea,2005,Emissions per capita (metric tons of carbon dioxide),3.152
Dem. People's Rep. Korea,2010,Emissions per capita (metric tons of carbon dioxide),2.004
Dem. People's Rep. Korea,2015,Emissions per capita (metric tons of carbon dioxide),0.893
Dem. People's Rep. Korea,2016,Emissions per capita (metric tons of carbon dioxide),1.002
Dem. People's Rep. Korea,2017,Emissions per capita (metric tons of carbon dioxide),0.768
Dem. Rep. of the Congo,1975,Emissions (thousand metric tons of carbon dioxide),2620.726
Dem. Rep. of the Congo,1985,Emissions (thousand metric tons of carbon dioxide),3254.053
Dem. Rep. of the Congo,1995,Emissions (thousand metric tons of carbon dioxide),1142.631
Dem. Rep. of the Congo,2005,Emissions (thousand metric tons of carbon dioxide),1281.832
Dem. Rep. of the Congo,2010,Emissions (thousand metric tons of carbon dioxide),1869.246
Dem. Rep. of the Congo,2015,Emissions (thousand metric tons of carbon dioxide),2734.926
Dem. Rep. of the Congo,2016,Emissions (thousand metric tons of carbon dioxide),1979.013
Dem. Rep. of the Congo,2017,Emissions (thousand metric tons of carbon dioxide),2201.742
Dem. Rep. of the Congo,1975,Emissions per capita (metric tons of carbon dioxide),0.114
Dem. Rep. of the Congo,1985,Emissions per capita (metric tons of carbon dioxide),0.109
Dem. Rep. of the Congo,1995,Emissions per capita (metric tons of carbon dioxide),0.027
Dem. Rep. of the Congo,2005,Emissions per capita (metric tons of carbon dioxide),0.023
Dem. Rep. of the Congo,2010,Emissions per capita (metric tons of carbon dioxide),0.029
Dem. Rep. of the Congo,2015,Emissions per capita (metric tons of carbon dioxide),0.036
Dem. Rep. of the Congo,2016,Emissions per capita (metric tons of carbon dioxide),0.025
Dem. Rep. of the Congo,2017,Emissions per capita (metric tons of carbon dioxide),0.027
Denmark,1975,Emissions (thousand metric tons of carbon dioxide),52645.648
Denmark,1985,Emissions (thousand metric tons of carbon dioxide),61031.807
Denmark,1995,Emissions (thousand metric tons of carbon dioxide),58385.219
Denmark,2005,Emissions (thousand metric tons of carbon dioxide),48494.944
Denmark,2010,Emissions (thousand metric tons of carbon dioxide),47254.487
Denmark,2015,Emissions (thousand metric tons of carbon dioxide),31948.409
Denmark,2016,Emissions (thousand metric tons of carbon dioxide),33486.945
Denmark,2017,Emissions (thousand metric tons of carbon dioxide),31263.57
Denmark,1975,Emissions per capita (metric tons of carbon dioxide),10.404
Denmark,1985,Emissions per capita (metric tons of carbon dioxide),11.937
Denmark,1995,Emissions per capita (metric tons of carbon dioxide),11.164
Denmark,2005,Emissions per capita (metric tons of carbon dioxide),8.949
Denmark,2010,Emissions per capita (metric tons of carbon dioxide),8.519
Denmark,2015,Emissions per capita (metric tons of carbon dioxide),5.623
Denmark,2016,Emissions per capita (metric tons of carbon dioxide),5.845
Denmark,2017,Emissions per capita (metric tons of carbon dioxide),5.421
Dominican Republic,1975,Emissions (thousand metric tons of carbon dioxide),5213.329
Dominican Republic,1985,Emissions (thousand metric tons of carbon dioxide),6234.306
Dominican Republic,1995,Emissions (thousand metric tons of carbon dioxide),11221.463
Dominican Republic,2005,Emissions (thousand metric tons of carbon dioxide),17522.139
Dominican Republic,2010,Emissions (thousand metric tons of carbon dioxide),19021.523
Dominican Republic,2015,Emissions (thousand metric tons of carbon dioxide),21519.849
Dominican Republic,2016,Emissions (thousand metric tons of carbon dioxide),22534.306
Dominican Republic,2017,Emissions (thousand metric tons of carbon dioxide),21430.38
Dominican Republic,1975,Emissions per capita (metric tons of carbon dioxide),1.012
Dominican Republic,1985,Emissions per capita (metric tons of carbon dioxide),0.961
Dominican Republic,1995,Emissions per capita (metric tons of carbon dioxide),1.422
Dominican Republic,2005,Emissions per capita (metric tons of carbon dioxide),1.897
Dominican Republic,2010,Emissions per capita (metric tons of carbon dioxide),1.922
Dominican Republic,2015,Emissions per capita (metric tons of carbon dioxide),2.044
Dominican Republic,2016,Emissions per capita (metric tons of carbon dioxide),2.116
Dominican Republic,2017,Emissions per capita (metric tons of carbon dioxide),1.99
Ecuador,1975,Emissions (thousand metric tons of carbon dioxide),5935.604
Ecuador,1985,Emissions (thousand metric tons of carbon dioxide),11665.556
Ecuador,1995,Emissions (thousand metric tons of carbon dioxide),16691.131
Ecuador,2005,Emissions (thousand metric tons of carbon dioxide),23926.725
Ecuador,2010,Emissions (thousand metric tons of carbon dioxide),32749.762
Ecuador,2015,Emissions (thousand metric tons of carbon dioxide),37357.272
Ecuador,2016,Emissions (thousand metric tons of carbon dioxide),35393.138
Ecuador,2017,Emissions (thousand metric tons of carbon dioxide),34299.317
Ecuador,1975,Emissions per capita (metric tons of carbon dioxide),0.85
Ecuador,1985,Emissions per capita (metric tons of carbon dioxide),1.29
Ecuador,1995,Emissions per capita (metric tons of carbon dioxide),1.459
Ecuador,2005,Emissions per capita (metric tons of carbon dioxide),1.742
Ecuador,2010,Emissions per capita (metric tons of carbon dioxide),2.193
Ecuador,2015,Emissions per capita (metric tons of carbon dioxide),2.314
Ecuador,2016,Emissions per capita (metric tons of carbon dioxide),2.16
Ecuador,2017,Emissions per capita (metric tons of carbon dioxide),2.063
Egypt,1975,Emissions (thousand metric tons of carbon dioxide),25581.444
Egypt,1985,Emissions (thousand metric tons of carbon dioxide),64473.872
Egypt,1995,Emissions (thousand metric tons of carbon dioxide),81466.137
Egypt,2005,Emissions (thousand metric tons of carbon dioxide),145027.708
Egypt,2010,Emissions (thousand metric tons of carbon dioxide),176436.297
Egypt,2015,Emissions (thousand metric tons of carbon dioxide),199544.529
Egypt,2016,Emissions (thousand metric tons of carbon dioxide),204112.697
Egypt,2017,Emissions (thousand metric tons of carbon dioxide),209219.059
Egypt,1975,Emissions per capita (metric tons of carbon dioxide),0.653
Egypt,1985,Emissions per capita (metric tons of carbon dioxide),1.284
Egypt,1995,Emissions per capita (metric tons of carbon dioxide),1.279
Egypt,2005,Emissions per capita (metric tons of carbon dioxide),1.889
Egypt,2010,Emissions per capita (metric tons of carbon dioxide),2.098
Egypt,2015,Emissions per capita (metric tons of carbon dioxide),2.128
Egypt,2016,Emissions per capita (metric tons of carbon dioxide),2.133
Egypt,2017,Emissions per capita (metric tons of carbon dioxide),2.145
El Salvador,1975,Emissions (thousand metric tons of carbon dioxide),1929.707
El Salvador,1985,Emissions (thousand metric tons of carbon dioxide),1640.679
El Salvador,1995,Emissions (thousand metric tons of carbon dioxide),4573.345
El Salvador,2005,Emissions (thousand metric tons of carbon dioxide),6252.815
El Salvador,2010,Emissions (thousand metric tons of carbon dioxide),5826.204
El Salvador,2015,Emissions (thousand metric tons of carbon dioxide),6389.271
El Salvador,2016,Emissions (thousand metric tons of carbon dioxide),6372.143
El Salvador,2017,Emissions (thousand metric tons of carbon dioxide),5735.668
El Salvador,1975,Emissions per capita (metric tons of carbon dioxide),0.465
El Salvador,1985,Emissions per capita (metric tons of carbon dioxide),0.333
El Salvador,1995,Emissions per capita (metric tons of carbon dioxide),0.815
El Salvador,2005,Emissions per capita (metric tons of carbon dioxide),1.037
El Salvador,2010,Emissions per capita (metric tons of carbon dioxide),0.945
El Salvador,2015,Emissions per capita (metric tons of carbon dioxide),1.012
El Salvador,2016,Emissions per capita (metric tons of carbon dioxide),1.004
El Salvador,2017,Emissions per capita (metric tons of carbon dioxide),0.899
Eritrea,1995,Emissions (thousand metric tons of carbon dioxide),776.324
Eritrea,2005,Emissions (thousand metric tons of carbon dioxide),578.183
Eritrea,2010,Emissions (thousand metric tons of carbon dioxide),479.57
Eritrea,2015,Emissions (thousand metric tons of carbon dioxide),590.108
Eritrea,2016,Emissions (thousand metric tons of carbon dioxide),599.637
Eritrea,2017,Emissions (thousand metric tons of carbon dioxide),632.105
Eritrea,1995,Emissions per capita (metric tons of carbon dioxide),0.251
Eritrea,2005,Emissions per capita (metric tons of carbon dioxide),0.146
Eritrea,2010,Emissions per capita (metric tons of carbon dioxide),0.109
Eritrea,2015,Emissions per capita (metric tons of carbon dioxide),0.122
Eritrea,2016,Emissions per capita (metric tons of carbon dioxide),0.121
Eritrea,2017,Emissions per capita (metric tons of carbon dioxide),0.125
Estonia,1995,Emissions (thousand metric tons of carbon dioxide),15889.313
Estonia,2005,Emissions (thousand metric tons of carbon dioxide),16747.695
Estonia,2010,Emissions (thousand metric tons of carbon dioxide),18563.998
Estonia,2015,Emissions (thousand metric tons of carbon dioxide),15147.858
Estonia,2016,Emissions (thousand metric tons of carbon dioxide),15460.878
Estonia,2017,Emissions (thousand metric tons of carbon dioxide),15972.029
Estonia,1995,Emissions per capita (metric tons of carbon dioxide),10.973
Estonia,2005,Emissions per capita (metric tons of carbon dioxide),12.324
Estonia,2010,Emissions per capita (metric tons of carbon dioxide),13.926
Estonia,2015,Emissions per capita (metric tons of carbon dioxide),11.537
Estonia,2016,Emissions per capita (metric tons of carbon dioxide),11.748
Estonia,2017,Emissions per capita (metric tons of carbon dioxide),12.137
Ethiopia,1975,Emissions (thousand metric tons of carbon dioxide),1178.11
Ethiopia,1985,Emissions (thousand metric tons of carbon dioxide),1385.977
Ethiopia,1995,Emissions (thousand metric tons of carbon dioxide),2325.783
Ethiopia,2005,Emissions (thousand metric tons of carbon dioxide),4482.124
Ethiopia,2010,Emissions (thousand metric tons of carbon dioxide),5898.599
Ethiopia,2015,Emissions (thousand metric tons of carbon dioxide),10059.891
Ethiopia,2016,Emissions (thousand metric tons of carbon dioxide),11843.085
Ethiopia,2017,Emissions (thousand metric tons of carbon dioxide),13059.815
Ethiopia,1975,Emissions per capita (metric tons of carbon dioxide),0.036
Ethiopia,1985,Emissions per capita (metric tons of carbon dioxide),0.034
Ethiopia,1995,Emissions per capita (metric tons of carbon dioxide),0.041
Ethiopia,2005,Emissions per capita (metric tons of carbon dioxide),0.058
Ethiopia,2010,Emissions per capita (metric tons of carbon dioxide),0.067
Ethiopia,2015,Emissions per capita (metric tons of carbon dioxide),0.101
Ethiopia,2016,Emissions per capita (metric tons of carbon dioxide),0.116
Ethiopia,2017,Emissions per capita (metric tons of carbon dioxide),0.124
Finland,1975,Emissions (thousand metric tons of carbon dioxide),44188.917
Finland,1985,Emissions (thousand metric tons of carbon dioxide),48284.914
Finland,1995,Emissions (thousand metric tons of carbon dioxide),55714.578
Finland,2005,Emissions (thousand metric tons of carbon dioxide),54918.043
Finland,2010,Emissions (thousand metric tons of carbon dioxide),62000.673
Finland,2015,Emissions (thousand metric tons of carbon dioxide),42365.643
Finland,2016,Emissions (thousand metric tons of carbon dioxide),45127.234
Finland,2017,Emissions (thousand metric tons of carbon dioxide),42598.175
Finland,1975,Emissions per capita (metric tons of carbon dioxide),9.38
Finland,1985,Emissions per capita (metric tons of carbon dioxide),9.85
Finland,1995,Emissions per capita (metric tons of carbon dioxide),10.907
Finland,2005,Emissions per capita (metric tons of carbon dioxide),10.469
Finland,2010,Emissions per capita (metric tons of carbon dioxide),11.561
Finland,2015,Emissions per capita (metric tons of carbon dioxide),7.73
Finland,2016,Emissions per capita (metric tons of carbon dioxide),8.212
Finland,2017,Emissions per capita (metric tons of carbon dioxide),7.734
France,1975,Emissions (thousand metric tons of carbon dioxide),423108.047
France,1985,Emissions (thousand metric tons of carbon dioxide),351797.985
France,1995,Emissions (thousand metric tons of carbon dioxide),343648.115
France,2005,Emissions (thousand metric tons of carbon dioxide),371892.91
France,2010,Emissions (thousand metric tons of carbon dioxide),340218.09
France,2015,Emissions (thousand metric tons of carbon dioxide),299640.583
France,2016,Emissions (thousand metric tons of carbon dioxide),301695.852
France,2017,Emissions (thousand metric tons of carbon dioxide),306123.541
France,1975,Emissions per capita (metric tons of carbon dioxide),7.845
France,1985,Emissions per capita (metric tons of carbon dioxide),6.209
France,1995,Emissions per capita (metric tons of carbon dioxide),5.773
France,2005,Emissions per capita (metric tons of carbon dioxide),5.887
France,2010,Emissions per capita (metric tons of carbon dioxide),5.233
France,2015,Emissions per capita (metric tons of carbon dioxide),4.5
France,2016,Emissions per capita (metric tons of carbon dioxide),4.515
France,2017,Emissions per capita (metric tons of carbon dioxide),4.565
Gabon,1975,Emissions (thousand metric tons of carbon dioxide),757.319
Gabon,1985,Emissions (thousand metric tons of carbon dioxide),1682.488
Gabon,1995,Emissions (thousand metric tons of carbon dioxide),1315.246
Gabon,2005,Emissions (thousand metric tons of carbon dioxide),1733.485
Gabon,2010,Emissions (thousand metric tons of carbon dioxide),2659.638
Gabon,2015,Emissions (thousand metric tons of carbon dioxide),3252.522
Gabon,2016,Emissions (thousand metric tons of carbon dioxide),3357.483
Gabon,2017,Emissions (thousand metric tons of carbon dioxide),3367.911
Gabon,1975,Emissions per capita (metric tons of carbon dioxide),1.165
Gabon,1985,Emissions per capita (metric tons of carbon dioxide),2.027
Gabon,1995,Emissions per capita (metric tons of carbon dioxide),1.211
Gabon,2005,Emissions per capita (metric tons of carbon dioxide),1.236
Gabon,2010,Emissions per capita (metric tons of carbon dioxide),1.622
Gabon,2015,Emissions per capita (metric tons of carbon dioxide),1.685
Gabon,2016,Emissions per capita (metric tons of carbon dioxide),1.696
Gabon,2017,Emissions per capita (metric tons of carbon dioxide),1.663
Georgia,1995,Emissions (thousand metric tons of carbon dioxide),8136.847
Georgia,2005,Emissions (thousand metric tons of carbon dioxide),4065.656
Georgia,2010,Emissions (thousand metric tons of carbon dioxide),4995.027
Georgia,2015,Emissions (thousand metric tons of carbon dioxide),8383.116
Georgia,2016,Emissions (thousand metric tons of carbon dioxide),8809.005
Georgia,2017,Emissions (thousand metric tons of carbon dioxide),8720.3
Georgia,1995,Emissions per capita (metric tons of carbon dioxide),1.719
Georgia,2005,Emissions per capita (metric tons of carbon dioxide),0.97
Georgia,2010,Emissions per capita (metric tons of carbon dioxide),1.272
Georgia,2015,Emissions per capita (metric tons of carbon dioxide),2.255
Georgia,2016,Emissions per capita (metric tons of carbon dioxide),2.369
Georgia,2017,Emissions per capita (metric tons of carbon dioxide),2.346
Germany,1975,Emissions (thousand metric tons of carbon dioxide),973365.909
Germany,1985,Emissions (thousand metric tons of carbon dioxide),1004256.098
Germany,1995,Emissions (thousand metric tons of carbon dioxide),856596.915
Germany,2005,Emissions (thousand metric tons of carbon dioxide),786664.297
Germany,2010,Emissions (thousand metric tons of carbon dioxide),758802.602
Germany,2015,Emissions (thousand metric tons of carbon dioxide),729684.098
Germany,2016,Emissions (thousand metric tons of carbon dioxide),734487.052
Germany,2017,Emissions (thousand metric tons of carbon dioxide),718794.085
Germany,1975,Emissions per capita (metric tons of carbon dioxide),12.371
Germany,1985,Emissions per capita (metric tons of carbon dioxide),12.93
Germany,1995,Emissions per capita (metric tons of carbon dioxide),10.535
Germany,2005,Emissions per capita (metric tons of carbon dioxide),9.672
Germany,2010,Emissions per capita (metric tons of carbon dioxide),9.451
Germany,2015,Emissions per capita (metric tons of carbon dioxide),8.933
Germany,2016,Emissions per capita (metric tons of carbon dioxide),8.919
Germany,2017,Emissions per capita (metric tons of carbon dioxide),8.696
Ghana,1975,Emissions (thousand metric tons of carbon dioxide),2305.818
Ghana,1985,Emissions (thousand metric tons of carbon dioxide),2067.234
Ghana,1995,Emissions (thousand metric tons of carbon dioxide),3184.394
Ghana,2005,Emissions (thousand metric tons of carbon dioxide),6306.508
Ghana,2010,Emissions (thousand metric tons of carbon dioxide),10419.649
Ghana,2015,Emissions (thousand metric tons of carbon dioxide),14088.758
Ghana,2016,Emissions (thousand metric tons of carbon dioxide),12967.698
Ghana,2017,Emissions (thousand metric tons of carbon dioxide),13779.635
Ghana,1975,Emissions per capita (metric tons of carbon dioxide),0.235
Ghana,1985,Emissions per capita (metric tons of carbon dioxide),0.163
Ghana,1995,Emissions per capita (metric tons of carbon dioxide),0.19
Ghana,2005,Emissions per capita (metric tons of carbon dioxide),0.293
Ghana,2010,Emissions per capita (metric tons of carbon dioxide),0.425
Ghana,2015,Emissions per capita (metric tons of carbon dioxide),0.511
Ghana,2016,Emissions per capita (metric tons of carbon dioxide),0.46
Ghana,2017,Emissions per capita (metric tons of carbon dioxide),0.478
Gibraltar,1975,Emissions (thousand metric tons of carbon dioxide),62.036
Gibraltar,1985,Emissions (thousand metric tons of carbon dioxide),90.096
Gibraltar,1995,Emissions (thousand metric tons of carbon dioxide),280.803
Gibraltar,2005,Emissions (thousand metric tons of carbon dioxide),405.663
Gibraltar,2010,Emissions (thousand metric tons of carbon dioxide),474.195
Gibraltar,2015,Emissions (thousand metric tons of carbon dioxide),589.619
Gibraltar,2016,Emissions (thousand metric tons of carbon dioxide),645.692
Gibraltar,2017,Emissions (thousand metric tons of carbon dioxide),703.9
Gibraltar,1975,Emissions per capita (metric tons of carbon dioxide),2.386
Gibraltar,1985,Emissions per capita (metric tons of carbon dioxide),3.218
Gibraltar,1995,Emissions per capita (metric tons of carbon dioxide),9.683
Gibraltar,2005,Emissions per capita (metric tons of carbon dioxide),13.086
Gibraltar,2010,Emissions per capita (metric tons of carbon dioxide),15.297
Gibraltar,2015,Emissions per capita (metric tons of carbon dioxide),17.342
Gibraltar,2016,Emissions per capita (metric tons of carbon dioxide),18.991
Gibraltar,2017,Emissions per capita (metric tons of carbon dioxide),20.703
Greece,1975,Emissions (thousand metric tons of carbon dioxide),34099.717
Greece,1985,Emissions (thousand metric tons of carbon dioxide),54479.901
Greece,1995,Emissions (thousand metric tons of carbon dioxide),76478.485
Greece,2005,Emissions (thousand metric tons of carbon dioxide),95156.324
Greece,2010,Emissions (thousand metric tons of carbon dioxide),83369.47
Greece,2015,Emissions (thousand metric tons of carbon dioxide),64543.218
Greece,2016,Emissions (thousand metric tons of carbon dioxide),63076.623
Greece,2017,Emissions (thousand metric tons of carbon dioxide),63213.31
Greece,1975,Emissions per capita (metric tons of carbon dioxide),3.731
Greece,1985,Emissions per capita (metric tons of carbon dioxide),5.428
Greece,1995,Emissions per capita (metric tons of carbon dioxide),7.241
Greece,2005,Emissions per capita (metric tons of carbon dioxide),8.661
Greece,2010,Emissions per capita (metric tons of carbon dioxide),7.497
Greece,2015,Emissions per capita (metric tons of carbon dioxide),5.965
Greece,2016,Emissions per capita (metric tons of carbon dioxide),5.853
Greece,2017,Emissions per capita (metric tons of carbon dioxide),5.878
Guatemala,1975,Emissions (thousand metric tons of carbon dioxide),3015.686
Guatemala,1985,Emissions (thousand metric tons of carbon dioxide),3183.813
Guatemala,1995,Emissions (thousand metric tons of carbon dioxide),5858.99
Guatemala,2005,Emissions (thousand metric tons of carbon dioxide),10621.597
Guatemala,2010,Emissions (thousand metric tons of carbon dioxide),10272.703
Guatemala,2015,Emissions (thousand metric tons of carbon dioxide),15164.376
Guatemala,2016,Emissions (thousand metric tons of carbon dioxide),16261.135
Guatemala,2017,Emissions (thousand metric tons of carbon dioxide),15703.161
Guatemala,1975,Emissions per capita (metric tons of carbon dioxide),0.469
Guatemala,1985,Emissions per capita (metric tons of carbon dioxide),0.386
Guatemala,1995,Emissions per capita (metric tons of carbon dioxide),0.563
Guatemala,2005,Emissions per capita (metric tons of carbon dioxide),0.811
Guatemala,2010,Emissions per capita (metric tons of carbon dioxide),0.702
Guatemala,2015,Emissions per capita (metric tons of carbon dioxide),0.933
Guatemala,2016,Emissions per capita (metric tons of carbon dioxide),0.981
Guatemala,2017,Emissions per capita (metric tons of carbon dioxide),0.928
Haiti,1975,Emissions (thousand metric tons of carbon dioxide),412.844
Haiti,1985,Emissions (thousand metric tons of carbon dioxide),796.137
Haiti,1995,Emissions (thousand metric tons of carbon dioxide),902.323
Haiti,2005,Emissions (thousand metric tons of carbon dioxide),1980.992
Haiti,2010,Emissions (thousand metric tons of carbon dioxide),2095.144
Haiti,2015,Emissions (thousand metric tons of carbon dioxide),3208.933
